Symbol,ExpirationDate,AskPrice,AskSize,BidPrice,BidSize,LastPrice,PutCall,StrikePrice,Volume,ImpliedVolatility,Exchange,Delta,Gamma,Vega,Rho,OpenInterest,UnderlyingPrice,DataDate
A,20170616,28.2,10,23.7,31,0.0,call,35.00,0,1.55956,OPRA,0.98185,0.00259,0.00493,0.01113,0,60.81,06-04-2017
A,20170616,25.80,14,21.45,1,0.00,call,37.50,0,1.62871,OPRA,0.96278,0.00452,0.00898,0.01151,0,60.81,06-04-2017
A,20170616,23.30,13,19.95,22,0.00,call,40.00,0,1.82798,OPRA,0.92354,0.00712,0.01587,0.01139,0,60.81,06-04-2017
A,20170616,20.8,20,16.0,32,0.0,call,42.50,0,0.97677,OPRA,0.98260,0.00398,0.00476,0.01363,0,60.81,06-04-2017
A,20170616,18.30,13,13.90,18,0.00,call,45.00,0,1.07646,OPRA,0.94953,0.00874,0.01149,0.01373,0,60.81,06-04-2017
A,20170616,15.80,45,11.55,22,11.14,call,47.50,0,0.97159,OPRA,0.93201,0.01223,0.01451,0.01418,5,60.81,06-04-2017
A,20170616,11.4,26,10.5,9,10.7,call,50.00,0,0.63809,OPRA,0.96002,0.01222,0.00954,0.01564,72,60.81,06-04-2017
A,20170616,8.70,84,8.05,31,8.33,call,52.50,20,0.41843,OPRA,0.97600,0.01221,0.00627,0.01681,53,60.81,06-04-2017
A,20170616,6.00,31,5.75,22,5.40,call,55.00,0,0.30284,OPRA,0.96864,0.02109,0.00784,0.01749,429,60.81,06-04-2017
A,20170616,3.50,1,3.25,36,3.42,call,57.50,28,0.18728,OPRA,0.95306,0.04739,0.01091,0.01800,6960,60.81,06-04-2017
A,20170616,1.28,26,1.22,24,1.23,call,60.00,52,0.17383,OPRA,0.67513,0.18751,0.03976,0.01316,1868,60.81,06-04-2017
A,20170616,0.23,26,0.16,44,0.22,call,62.50,64,0.16826,OPRA,0.19263,0.14730,0.03029,0.00383,341,60.81,06-04-2017
A,20170616,0.11,239,0.00,0,0.03,call,65.00,20,0.22345,OPRA,0.05353,0.04411,0.01210,0.00106,283,60.81,06-04-2017
A,20170616,0.03,21,0.00,0,0.00,call,70.00,0,0.33717,OPRA,0.01189,0.00831,0.00345,0.00024,0,60.81,06-04-2017
A,20170616,0.04,20,0.00,0,0.00,put,35.00,0,1.21488,OPRA,-0.00446,0.00097,0.00145,-0.00009,0,60.81,06-04-2017
A,20170616,0.09,31,0.00,0,0.00,put,37.50,0,1.19002,OPRA,-0.00947,0.00193,0.00281,-0.00019,0,60.81,06-04-2017
A,20170616,0.13,32,0.00,0,0.00,put,40.00,0,1.10304,OPRA,-0.01415,0.00295,0.00399,-0.00028,0,60.81,06-04-2017
A,20170616,0.09,31,0.00,0,0.00,put,42.50,0,0.91095,OPRA,-0.01221,0.00315,0.00351,-0.00024,0,60.81,06-04-2017
A,20170616,0.04,21,0.00,0,0.34,put,45.00,0,0.70110,OPRA,-0.00752,0.00268,0.00230,-0.00015,1,60.81,06-04-2017
A,20170616,0.04,29,0.00,0,0.05,put,47.50,0,0.58791,OPRA,-0.00888,0.00370,0.00267,-0.00017,12,60.81,06-04-2017
A,20170616,0.03,22,0.00,0,0.05,put,50.00,0,0.46115,OPRA,-0.00858,0.00457,0.00259,-0.00017,942,60.81,06-04-2017
A,20170616,0.01,50,0.00,0,0.06,put,52.50,1,0.31413,OPRA,-0.00452,0.00380,0.00148,-0.00009,535,60.81,06-04-2017
A,20170616,0.04,31,0.01,4,0.05,put,55.00,0,0.27804,OPRA,-0.02160,0.01682,0.00575,-0.00041,5082,60.81,06-04-2017
A,20170616,0.11,11,0.05,22,0.11,put,57.50,0,0.21708,OPRA,-0.07360,0.05821,0.01548,-0.00138,171,60.81,06-04-2017
A,20170616,0.50,21,0.40,18,0.66,put,60.00,0,0.18247,OPRA,-0.33277,0.18059,0.04014,-0.00602,121,60.81,06-04-2017
A,20170616,2.00,30,1.82,27,0.00,put,62.50,0,0.18332,OPRA,-0.78894,0.14391,0.03193,-0.01209,0,60.81,06-04-2017
A,20170616,4.50,46,4.10,31,5.76,put,65.00,0,0.27221,OPRA,-0.90835,0.05546,0.01818,-0.01221,0,60.81,06-04-2017
A,20170616,11.60,32,8.35,23,0.00,put,70.00,0,0.78936,OPRA,-0.81843,0.03033,0.02915,-0.01507,0,60.81,06-04-2017
A,20170721,23.40,18,22.55,48,0.00,call,37.50,0,0.66393,OPRA,0.98755,0.00231,0.00688,0.02569,0,60.81,06-04-2017
A,20170721,20.90,18,18.60,9,0.00,call,40.00,0,0.58243,OPRA,0.98627,0.00287,0.00749,0.02741,0,60.81,06-04-2017
A,20170721,18.4,18,17.4,36,0.0,call,42.50,0,0.50567,OPRA,0.98472,0.00363,0.00820,0.02915,0,60.81,06-04-2017
A,20170721,16.10,18,15.40,36,14.89,call,45.00,0,0.55901,OPRA,0.94875,0.00887,0.02279,0.03703,2,60.81,06-04-2017
A,20170721,15.70,36,11.85,93,0.00,call,47.50,0,0.53677,OPRA,0.91998,0.01295,0.03218,0.03911,0,60.81,06-04-2017
A,20170721,11.95,36,9.85,36,10.50,call,50.00,0,0.29714,OPRA,0.97694,0.00883,0.01165,0.03445,13,60.81,06-04-2017
A,20170721,9.90,9,7.00,45,6.20,call,52.50,0,0.26275,OPRA,0.95565,0.01687,0.01987,0.04104,1,60.81,06-04-2017
A,20170721,6.10,54,5.90,41,6.30,call,55.00,10,0.21190,OPRA,0.91936,0.03382,0.03246,0.04511,56,60.81,06-04-2017
A,20170721,3.85,32,3.70,30,3.60,call,57.50,0,0.19198,OPRA,0.80886,0.06657,0.05881,0.04657,79,60.81,06-04-2017
A,20170721,2.04,70,1.89,36,1.98,call,60.00,16,0.17860,OPRA,0.59518,0.10046,0.08430,0.04044,215,60.81,06-04-2017
A,20170721,0.87,70,0.74,177,0.87,call,62.50,30,0.17161,OPRA,0.33652,0.09784,0.07957,0.02518,156,60.81,06-04-2017
A,20170721,0.31,39,0.25,19,0.30,call,65.00,2,0.17363,OPRA,0.14757,0.06103,0.05043,0.01134,181,60.81,06-04-2017
A,20170721,0.05,33,0.00,0,0.03,call,70.00,0,0.18402,OPRA,0.01760,0.01083,0.00958,0.00138,10,60.81,06-04-2017
A,20170721,0.04,32,0.00,0,0.00,put,37.50,0,0.54301,OPRA,-0.00503,0.00123,0.00319,-0.00039,0,60.81,06-04-2017
A,20170721,0.03,22,0.00,0,0.00,put,40.00,0,0.46115,OPRA,-0.00454,0.00132,0.00291,-0.00035,0,60.81,06-04-2017
A,20170721,0.03,21,0.00,0,0.00,put,42.50,0,0.39981,OPRA,-0.00519,0.00171,0.00328,-0.00040,0,60.81,06-04-2017
A,20170721,0.04,33,0.00,0,0.00,put,45.00,0,0.35386,OPRA,-0.00758,0.00271,0.00459,-0.00058,0,60.81,06-04-2017
A,20170721,0.05,23,0.00,0,0.05,put,47.50,0,0.30519,OPRA,-0.01062,0.00422,0.00617,-0.00080,3,60.81,06-04-2017
A,20170721,0.08,123,0.02,22,0.05,put,50.00,0,0.27578,OPRA,-0.02167,0.00862,0.01137,-0.00162,29,60.81,06-04-2017
A,20170721,0.12,22,0.07,27,0.12,put,52.50,0,0.24304,OPRA,-0.04263,0.01714,0.01989,-0.00318,3,60.81,06-04-2017
A,20170721,0.23,41,0.18,20,0.24,put,55.00,0,0.21484,OPRA,-0.09131,0.03511,0.03591,-0.00674,64,60.81,06-04-2017
A,20170721,0.53,30,0.46,22,0.45,put,57.50,4,0.19343,OPRA,-0.20294,0.06717,0.06165,-0.01476,100,60.81,06-04-2017
A,20170721,1.25,31,1.12,71,1.18,put,60.00,1,0.17820,OPRA,-0.40955,0.10102,0.08468,-0.02876,46,60.81,06-04-2017
A,20170721,2.61,56,2.48,41,0.00,put,62.50,0,0.17276,OPRA,-0.66642,0.09758,0.07923,-0.04334,0,60.81,06-04-2017
A,20170721,4.60,31,4.45,46,0.00,put,65.00,0,0.17479,OPRA,-0.85656,0.06059,0.04925,-0.04954,0,60.81,06-04-2017
A,20170721,9.40,18,7.20,45,0.00,put,70.00,0,0.25494,OPRA,-0.93681,0.02287,0.02707,-0.05307,0,60.81,06-04-2017
A,20170818,36.05,18,35.50,18,0.00,call,25.00,0,1.09882,OPRA,0.98046,0.00160,0.01299,0.03337,0,60.81,06-04-2017
A,20170818,35.15,52,33.20,18,0.00,call,27.50,0,1.28536,OPRA,0.95135,0.00287,0.02776,0.04410,0,60.81,06-04-2017
A,20170818,31.00,18,30.50,18,0.00,call,30.00,0,0.85361,OPRA,0.97990,0.00212,0.01332,0.03978,0,60.81,06-04-2017
A,20170818,28.70,52,27.85,52,0.00,call,32.50,0,0.87592,OPRA,0.96425,0.00330,0.02150,0.05155,0,60.81,06-04-2017
A,20170818,27.60,52,24.05,18,0.00,call,35.00,0,1.16896,OPRA,0.90466,0.00527,0.04664,0.05549,0,60.81,06-04-2017
A,20170818,25.1,18,21.4,48,0.0,call,37.50,0,1.05480,OPRA,0.89460,0.00629,0.05019,0.05943,0,60.81,06-04-2017
A,20170818,20.95,18,20.55,18,16.30,call,40.00,0,0.50292,OPRA,0.97656,0.00412,0.01519,0.05668,10,60.81,06-04-2017
A,20170818,18.45,18,17.80,41,14.25,call,42.50,0,0.43736,OPRA,0.97394,0.00517,0.01660,0.06330,25,60.81,06-04-2017
A,20170818,16.05,18,15.50,36,8.70,call,45.00,0,0.42093,OPRA,0.95576,0.00820,0.02560,0.07436,3,60.81,06-04-2017
A,20170818,15.80,9,11.65,57,9.10,call,47.50,0,0.40855,OPRA,0.92423,0.01277,0.03930,0.08255,173,60.81,06-04-2017
A,20170818,11.15,9,10.75,9,8.94,call,50.00,0,0.25898,OPRA,0.96107,0.01212,0.02315,0.08344,168,60.81,06-04-2017
A,20170818,8.95,9,8.35,21,8.40,call,52.50,1,0.25889,OPRA,0.90664,0.02358,0.04601,0.09181,225,60.81,06-04-2017
A,20170818,6.65,9,6.10,52,6.45,call,55.00,11,0.23282,OPRA,0.84443,0.03743,0.06578,0.09108,1632,60.81,06-04-2017
A,20170818,4.40,10,4.10,52,4.40,call,57.50,2,0.20583,OPRA,0.74280,0.05701,0.08884,0.08410,977,60.81,06-04-2017
A,20170818,2.74,43,2.55,52,2.57,call,60.00,0,0.20214,OPRA,0.57822,0.07039,0.10767,0.06716,348,60.81,06-04-2017
A,20170818,1.53,9,1.32,52,1.50,call,62.50,3,0.19366,OPRA,0.39623,0.07237,0.10607,0.04701,200,60.81,06-04-2017
A,20170818,0.78,43,0.63,42,0.69,call,65.00,0,0.19225,OPRA,0.23704,0.05840,0.08510,0.02854,65,60.81,06-04-2017
A,20170818,0.16,22,0.10,10,0.13,call,70.00,0,0.19261,OPRA,0.05901,0.02219,0.03258,0.00726,36,60.81,06-04-2017
A,20170818,0.04,21,0.00,0,0.05,put,25.00,0,0.75708,OPRA,-0.00288,0.00042,0.00244,-0.00037,15,60.81,06-04-2017
A,20170818,0.04,17,0.00,0,0.00,put,27.50,0,0.68063,OPRA,-0.00321,0.00052,0.00269,-0.00041,0,60.81,06-04-2017
A,20170818,0.04,17,0.00,0,0.05,put,30.00,0,0.61066,OPRA,-0.00357,0.00064,0.00296,-0.00045,1,60.81,06-04-2017
A,20170818,0.04,17,0.00,0,0.00,put,32.50,0,0.54647,OPRA,-0.00399,0.00079,0.00327,-0.00050,0,60.81,06-04-2017
A,20170818,0.04,20,0.00,0,0.01,put,35.00,0,0.48654,OPRA,-0.00446,0.00097,0.00362,-0.00056,46,60.81,06-04-2017
A,20170818,0.04,22,0.00,0,0.07,put,37.50,0,0.43056,OPRA,-0.00501,0.00122,0.00402,-0.00062,56,60.81,06-04-2017
A,20170818,0.05,34,0.00,0,0.02,put,40.00,0,0.38838,OPRA,-0.00679,0.00177,0.00526,-0.00083,15,60.81,06-04-2017
A,20170818,0.07,21,0.00,0,0.04,put,42.50,0,0.35257,OPRA,-0.01010,0.00277,0.00745,-0.00123,19,60.81,06-04-2017
A,20170818,0.10,36,0.00,0,0.22,put,45.00,0,0.31801,OPRA,-0.01530,0.00440,0.01068,-0.00185,71,60.81,06-04-2017
A,20170818,0.10,31,0.01,45,0.07,put,47.50,6,0.27177,OPRA,-0.01929,0.00628,0.01302,-0.00232,1183,60.81,06-04-2017
A,20170818,0.17,45,0.06,45,0.16,put,50.00,11,0.25394,OPRA,-0.03919,0.01213,0.02346,-0.00469,398,60.81,06-04-2017
A,20170818,0.29,19,0.24,308,0.25,put,52.50,2,0.24386,OPRA,-0.08276,0.02275,0.04213,-0.00987,779,60.81,06-04-2017
A,20170818,0.57,9,0.39,45,0.50,put,55.00,1,0.22150,OPRA,-0.14630,0.03768,0.06325,-0.01727,217,60.81,06-04-2017
A,20170818,1.03,12,0.93,12,0.96,put,57.50,3,0.21200,OPRA,-0.26382,0.05619,0.08999,-0.03065,124,60.81,06-04-2017
